SAMPLING EVENT IDENTIFIER,nearest_station,y_copeton,pm10_ugm3,pm25_ugm3,so2_ugm3,co_ppm,no2_ppb,o3_ppb,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,PROTOCOL NAME,month,OBSERVATION DATE,TIME OBSERVATIONS STARTED,distance_km
S88790728,Ciudad Bolivar,1,60.39886,33.82085,0.01395741,0.977276,0.02009932,0.002576965,128.0,0.382,1.0,Traveling,2,2021-02-14,07:18:00,22.654361968787185
S88790666,Ciudad Bolivar,1,55.39024,22.01558,0.009244454,1.091897,0.02869018,0.001748522,62.0,0.589,1.0,Traveling,2,2021-02-18,07:04:00,22.654361968787185
S81062306,Fontibon,1,47.56425,30.05618,0.001855782,0.814333,0.01983192,0.01246733,72.0,2.0,3.0,Traveling,2,2021-02-13,06:45:00,6.775437474312579
S80667778,Bosa,1,45.42978,11.38167,0.00072333,1.121124,0.01976947,0.000824752,135.0,2.75,1.0,Traveling,2,2021-02-06,05:44:00,6.004722032972881
S86981230,Ciudad Bolivar,1,67.67184,30.15826,0.001340132,0.460251,0.01928634,0.003915873,55.0,0.25,1.0,Traveling,2,2021-02-16,04:10:00,18.551239843209785
S80524881,Bosa,1,40.39225,13.40648,0.000298992,0.255228,0.006626066,0.02954115,124.0,2.29,1.0,Traveling,2,2021-02-06,11:09:00,6.004722032972881
S82720638,Usme,1,23.9991,8.29511,0.004513341,0.398674,0.01640164,0.01022173,74.0,41.028,2.0,Traveling,3,2021-03-01,08:18:00,16.322810460883595
S83165209,Usme,1,23.9991,8.29511,0.004513341,0.398674,0.01640164,0.01022173,74.0,41.028,2.0,Traveling,3,2021-03-01,08:18:00,16.322810460883595
S82682179,Bosa,0,13.05994,5.292622,8.6737e-05,0.348114,0.008636696,0.01834871,240.0,11.0,4.0,Traveling,3,2021-03-01,05:45:00,12.53056585334173
S83618751,Bosa,1,36.30056,12.80594,-0.000418143,0.558103,0.01764664,0.000358529,259.0,0.34,1.0,Traveling,3,2021-03-18,06:15:00,12.53056585334173
S83947488,Bosa,1,81.90435,36.03609,6.5361e-05,1.715515,0.01952914,0.000324797,326.0,22.14,1.0,Traveling,3,2021-03-23,05:25:00,12.53056585334173
S84065472,Bosa,1,53.21325,31.25347,-0.002435806,1.426913,0.0233109,4.738e-05,273.0,17.31,1.0,Traveling,3,2021-03-25,05:27:00,12.53056585334173
S83419689,Bosa,1,45.40622,19.18756,-0.000424026,0.779182,0.01284952,0.000250171,300.0,4.0,4.0,Traveling,3,2021-03-14,05:40:00,12.53056585334173
S88750029,Ciudad Bolivar,0,83.78308,47.62525,0.004334588,1.30375,0.03740687,0.001999207,139.0,0.447,1.0,Traveling,3,2021-03-20,06:59:00,16.811132922694394
S83821316,Bosa,0,60.10686,26.64513,-0.000169659,0.609633,0.01368916,0.000165259,381.0,18.86,1.0,Traveling,3,2021-03-21,06:26:00,12.53056585334173
S85352657,Ciudad Bolivar,1,88.85025,45.17986,0.001815659,1.042811,0.06733059,0.006016057,67.0,25.752,2.0,Traveling,3,2021-03-23,11:21:00,2.5297727621450306
S84167357,Ciudad Bolivar,1,88.85025,45.17986,0.001815659,1.042811,0.06733059,0.006016057,67.0,25.752,2.0,Traveling,3,2021-03-23,11:21:00,2.5297727621450306
S85362031,Bosa,0,26.12351,8.960557,0.005310871,0.313313,0.01311324,0.001185479,200.0,5.5,1.0,Traveling,4,2021-04-11,06:10:00,12.53056585334173
S86847651,Bosa,1,9.113108,6.144175,0.000976208,0.328525,0.006967601,0.003275713,240.0,2.0,7.0,Traveling,4,2021-04-30,06:30:00,12.53213591646762
S86726598,Bosa,1,9.113108,6.144175,0.000976208,0.328525,0.006967601,0.003275713,240.0,2.0,7.0,Traveling,4,2021-04-30,06:30:00,12.53213591646762
S96204995,Usme,0,48.84286,15.5462,0.004241452,0.153302,0.007853903,0.01178673,145.0,0.92,6.0,Traveling,4,2021-04-10,07:44:00,16.027227919753216
